crate_name,version,time_basic,time_horn,dependency_count
agave-librapay-api,0.1.0,0.8090315409936011,0.6855563328135759,0.0
agave-loader-v4-program,0.1.0,0.6937295000534505,0.5899974589701742,0.0
agave-local-cluster,0.1.0,0.7129564171191305,0.6383629580959678,0.0
agave-logger,0.1.0,0.6847718330100179,0.621408874867484,0.0
agave-lualoader,0.1.0,0.7012509589549154,0.6363183748908341,0.0
agave-measure,0.1.0,0.687646625097841,0.6233676658011973,0.0
agave-memory-management,0.1.0,0.8055786669719964,0.6022435419727117,0.0
agave-merkle-tree,0.1.0,0.6888311670627445,0.6295907080639154,0.0
agave-metrics,0.1.0,0.6501065001357347,0.6327022078912705,0.0
agave-move-loader-api,0.1.0,0.6845497919712216,0.5849352080840617,0.0
agave-move-loader-program,0.1.0,0.6749902500305325,0.6830196250230074,0.0
agave-native-loader,0.1.0,0.7030184159521013,0.5897101669106632,0.0
agave-net-utils,0.1.0,0.6534180419985205,0.6215768328402191,0.0
agave-netutil,0.1.0,0.7517592918593436,0.6259082918986678,0.0
agave-nohash-hasher,0.1.0,0.6620654580183327,0.6406819578260183,0.0
agave-noop,0.1.0,0.749728666851297,0.6313985001761466,0.0
agave-noop-program,0.1.0,0.7649504169821739,0.6254917921032757,0.0
agave-notifier,0.1.0,0.7061191250104457,0.6511826252099127,0.0
agave-ownable,0.1.0,0.6849622500594705,0.6374768749810755,0.0
agave-perf,0.1.0,0.7407392498571426,0.6292282091453671,0.0
air-execution-info-collector,0.7.14,215.11463604099117,0.6364605408161879,31.0
air-interpreter-cid,0.9.0,timeout,23.73742454103194,38.0
air-interpreter-data,0.17.2,53.88859854196198,0.7222297498956323,124.0
air-interpreter-interface,0.19.0,timeout,9.387796791968867,21.0
air-interpreter-sede,0.1.0,timeout,3.526422416092828,14.0
air-interpreter-signatures,0.1.7,timeout,126.72648199996912,86.0
air-interpreter-value,0.1.0,timeout,1.9628515420481565,10.0
air-interpreter-wasm,0.64.1,1.2975489168893546,0.8791996669024229,0.0
air-interpreter-wasm_branch_release,0.0.0,0.666226375149563,0.6334882080554962,0.0
air-interpreter-wasm_ci_fix_version_increment,0.0.1,0.6634117499925196,0.6539580828975886,0.0
air-interpreter-wasm_crate_release,0.0.18,0.6570705419871956,0.6470811669714749,0.0
air-interpreter-wasm_fix,0.0.0,0.7228136251214892,0.7208914998918772,0.0
air-interpreter-wasm_fold_iterable,0.0.9,0.669101791922003,0.6244185001123697,0.0
air-interpreter-wasm_get_rid_current_peer_id,0.0.4,0.7116797091439366,0.6409015841782093,0.0
air-interpreter-wasm_jvalue_flatten,0.0.5,0.660417707869783,0.6480776669923216,0.0
air-interpreter-wasm_logger-i32,0.0.5,0.6657891250215471,0.6556548331864178,0.0
air-interpreter-wasm_new_it_types,0.0.3,0.6621513748541474,0.5913366659078747,0.0
air-interpreter-wasm_new_stepper_outcome,0.0.13,0.7193104161415249,0.6505270409397781,0.0
air-interpreter-wasm_prerelease,0.0.1,0.669165707891807,0.5857667909003794,0.0
air-interpreter-wasm_security_tetraplets_reborn,0.0.18,0.664773958036676,0.6491920419503003,0.0
arduino_mkrzero,0.12.2,timeout,31.139916458865628,46.0
arduino_nano33iot,0.7.2,timeout,38.25543395779096,49.0
arduino_nano_connect,0.7.0,0.6076175419148058,0.6369333330076188,54.0
arduinors,0.1.1,timeout,2.5582963339984417,11.0
are,0.0.2,0.6572879170998931,0.5740232500247657,0.0
are_we_touching,0.2.8,4.017200000118464,0.6601085001602769,2.0
area_crate,0.1.1,0.6642210830468684,0.6601075830403715,0.0
area_func,0.1.1,0.727307999972254,0.6503382090013474,0.0
area_function,0.1.0,0.7166458750143647,0.7746432910207659,0.0
areaportal2d,0.1.1,timeout,1.4487805000972005,7.0
arecibo,0.1.1,0.6028335001319647,0.6449132498819381,99.0
aredis,0.0.4,timeout,15.826556124957278,35.0
areion,0.1.0,0.6776165829505771,0.6450909578707069,0.0
arel,0.3.8,timeout,71.83916574995965,62.0
arel-macros,0.3.8,timeout,1.2010832908563316,7.0
arel_macro,0.0.9,timeout,1.0563705831300467,6.0
arelith_combat_simulator,1.5.1,timeout,2.885691750096157,10.0
aren_alloc,0.3.0,0.6638422498945147,0.5724609999451786,0.0
arena-alloc,0.1.2,0.6549443749245256,0.6380483750253916,0.0
aws-sdk-arczonalshift,1.63.0,timeout,132.46846637502313,75.0
aws-sdk-artifact,1.52.0,timeout,129.08256975002587,75.0
aws-sdk-athena,1.66.0,timeout,129.97069208393805,75.0
aws-sdk-auditmanager,1.63.0,timeout,130.9944250001572,75.0
aws-sdk-autoscaling,1.70.0,timeout,146.67170924996026,79.0
aws-sdk-autoscalingplans,1.62.0,timeout,128.89166316692717,75.0
aws-sdk-b2bi,1.67.0,timeout,129.4222403750755,75.0
aws-sdk-backup,1.66.0,timeout,129.2690750421025,75.0
aws-sdk-backupgateway,1.62.0,timeout,128.46334395790473,75.0
aws-sdk-backupsearch,1.11.0,timeout,131.9732853330206,75.0
aws-sdk-backupstorage,1.30.0,timeout,133.84562966716476,75.0
aws-sdk-batch,1.72.0,timeout,131.4400720838457,75.0
aws-sdk-bcmdataexports,1.60.0,timeout,131.32862870790996,75.0
aws-sdk-bcmpricingcalculator,1.15.0,timeout,128.66076724999584,75.0
aws-sdk-bedrock,1.79.0,timeout,132.62210995797068,75.0
aws-sdk-bedrockagent,1.86.0,timeout,128.7326291250065,75.0
aws-sdk-bedrockagentruntime,1.85.0,timeout,141.1740267497953,77.0
aws-sdk-bedrockdataautomation,1.13.0,timeout,129.7012524579186,75.0
aws-sdk-bedrockdataautomationruntime,1.13.0,timeout,127.41880791611038,75.0
aws-sdk-bedrockruntime,1.77.0,timeout,141.27447591698729,77.0
bellande_rust_import,0.0.1,timeout,0.8797033340670168,4.0
bellande_step,0.1.0,timeout,178.20222795801237,100.0
bellandeos_file_system_test,0.0.1,timeout,11.7918692920357,28.0
bellare-micali,0.1.2,timeout,15.24202604102902,29.0
bellboy,0.2.0,timeout,117.9397587501444,81.0
bellemere,0.1.0,0.6342054998967797,0.6648889170028269,0.0
bellframe,0.13.2,timeout,2.4933651669416577,13.0
bellhop,0.2.1,0.8685298750642687,0.7121094160247594,172.0
bellhop-auth-dummy,0.2.1,0.7347490000538528,0.6528156250715256,173.0
bellhop-auth-header,0.2.1,0.6850840419065207,0.7173312080558389,176.0
bellhop-cli,0.2.1,1.6660088750068098,258.53852145792916,114.0
bellhop-client,0.2.1,timeout,141.31448099995032,87.0
bellhop-demo,0.2.1,1.0269581249449402,0.7628248750697821,201.0
bellhop-hook-jenkins,0.2.1,0.9118886250071228,0.6660856250673532,195.0
bellissimo_auth0,0.0.4,timeout,29.225280916085467,46.0
bellman,0.14.0,timeout,3.463330833008513,15.0
bellman-keccak256,0.1.0,timeout,4.3563982921186835,16.0
bellman_ce,0.8.0,timeout,18.16769108385779,33.0
bellos,0.0.4,timeout,8.991093249991536,24.0
bellpepper,0.4.1,timeout,5.1315966250840575,17.0
betting,0.3.1,timeout,4.332552541047335,17.0
betty,0.1.1,timeout,155.13404708285816,91.0
between,0.1.0,10.420296291122211,0.6884581251069903,2.0
between-us,1.0.0,0.761697500012815,0.6989287498872727,0.0
beul,1.0.0,0.7237941671628505,0.6050782089587301,0.0
bevier,1.1.1,timeout,7.975367708131671,23.0
bevior_tree,0.7.0,1.5696941250935197,380.0514776250347,113.0
bevis,0.1.1,timeout,1.40963524999097,7.0
bevis-derive,0.1.0,timeout,0.9088877919130028,4.0
bevis-strobe,0.1.1,timeout,2.806677709100768,12.0
bevm,0.1.1,timeout,50.68946266686544,54.0
bevnet,0.1.0,1.5101910419762137,371.6684386669658,111.0
bevoids,0.1.0,1.4308158340863883,355.67717224988155,108.0
bevsn,0.1.0,0.7076646669302136,0.6565992080140859,0.0
bevy-aabb-instancing,0.11.0,1.3961683751549572,345.16891220910475,108.0
bevy-aabb-instancing-011,0.9.2,1.4271217500790954,355.1406824160367,108.0
bevy-add-events-macro,0.1.0,0.6677258340641856,0.7494500421453267,0.0
bevy-alt-ui-navigation-lite,0.3.1,1.5145077500492334,341.1477884161286,109.0
bevy-animated-text,0.1.0,1.473284457810223,324.1624749591574,108.0
bevy_koto,0.2.0,2.5687309170607477,550.6268565831706,142.0
bevy_kwai_interactive_live,0.1.2,2.062731415964663,412.189978166949,139.0
bevy_la_mesa,0.15.4,2.057102791033685,592.0387981671374,140.0
bevy_landmass,0.8.0,2.058479500003159,504.865928666899,135.0
bevy_lazy_prefabs,0.2.1,1.871820000000298,375.4887762500439,117.0
bevy_ldtk,0.5.0,1.6955788331106303,386.6468056249432,116.0
bevy_ldtk_asset,0.6.4,2.865165375173092,timeout,214.0
bevy_leat,0.0.0,0.9489780000876636,0.7070217079017311,0.0
bevy_level,0.0.1,0.8562430827878416,0.5841108330059797,0.0
bevy_libgdx_atlas,0.3.2,1.6359603751916438,361.79532933281735,110.0
bevy_library,0.0.1,0.8190245418809354,0.6376502078492194,0.0
bevy_life,0.11.0,1.851168042048812,361.9882691251114,108.0
bevy_light_2d,0.5.0,1.740666292142123,353.09997474984266,108.0
bevy_light_field,0.8.0,0.8094862080179155,0.7612992920912802,194.0
bevy_lighting,0.0.1,0.7592351250350475,0.6073358750436455,0.0
bevy_lightspeed2d,0.1.0,0.816539625171572,0.6366920000873506,0.0
bevy_lightspeed3d,0.1.0,0.7250598750542849,0.5828490408603102,0.0
bevy_lightspeed4d,0.1.0,0.7844770411029458,0.5919961670879275,0.0
bevy_lightyear,0.1.0,timeout,65.87049837503582,58.0
crate-pro,0.1.0,1.5726992501877248,0.7149070829618722,0.0
crate-publish-test,0.1.1,0.7558325829450041,0.661286458838731,0.0
crate-publish-test-foo,0.1.0,0.8476164168678224,0.6656479591038078,0.0
crate-published,0.1.0,0.7425567919854075,0.7254917500540614,0.0
crate-race,1.1.2,timeout,128.28253387496807,98.0
crate-redeem-in-kind,0.6.0,3.0820757909677923,timeout,153.0
crate-root,0.1.3,1.260356874903664,0.6693533330690116,0.0
crate-sample-pdaj,0.1.0,0.8242785839829594,0.7176289591006935,0.0
crate-settings,0.0.7,timeout,9.52594624995254,23.0
crate-starter,1.1.0,timeout,2.5349981251638383,10.0
crate-template,0.0.1,0.77294583292678,0.666157916886732,0.0
crate-test-20220118,0.2.0,0.7194460830651224,0.6609544588718563,0.0
crate-test-bolt,0.1.0,0.7243358339183033,0.656552417203784,0.0
crate-test-xxx,0.1.13,0.7232197078410536,0.6717658750712872,0.0
crate-token,0.6.0,2.3718835418112576,timeout,152.0
crate-version,0.1.0,1.9922908749431372,252.67463791696355,114.0
crate-version-experiment,0.3.5,0.721944416873157,0.7170739169232547,0.0
crate-web,0.1.1,timeout,2.6916809170506895,11.0
crate2bib,0.3.2,1.7828381250146776,224.25908349989913,104.0
crudcrate,0.2.4,timeout,155.59547624993138,97.0
crudcrate-derive,0.1.4,timeout,0.8151634999085218,4.0
crude,0.0.1,timeout,0.8192157498560846,4.0
crude-profiler,0.1.7,1.6357720410451293,0.7033567500766367,1.0
crude_cache,0.1.1,timeout,6.5326302498579025,21.0
crudite,0.1.0,timeout,2.9389215409755707,13.0
crudkit,0.0.0,0.7944961250759661,0.637795333052054,0.0
crudx,1.1.0,timeout,1.0494111250154674,6.0
cruet,0.15.0,timeout,0.8686337089166045,4.0
crufst,0.1.0,0.6896911670919508,0.652315708110109,0.0
cruiser,0.2.0,1.9747839169576764,timeout,148.0
cruiser_derive,0.2.0,timeout,11.452260916121304,26.0
crulz,0.0.7,0.6271344590932131,0.6419382090680301,49.0
crum,0.3.0,timeout,2.6718746658880264,10.0
crumb,0.2.1,0.752804416930303,0.5972270830534399,0.0
crumble,0.10.2,timeout,1.1400946250651032,7.0
crumble_ci,0.1.0,timeout,5.964097041869536,21.0
crumbles,0.3.0,166.71888541593216,0.7225715420208871,2.0
crumsort,0.1.0,timeout,1.1604335829615593,6.0
crunch,0.5.3,0.706072541186586,0.6038717920891941,0.0
dalek-ff-group-mirror,0.4.1,timeout,7.070338583085686,22.0
daleks,0.6.0,timeout,8.41505179181695,22.0
daleth_lsp,0.1.1,149.08093966706656,83.50959358294494,
dalfs,0.1.0,1.6639298328664154,260.1851267090533,125.0
dali,0.3.0,timeout,6.229963416932151,21.0
dalia,1.2.0,1.357400249922648,0.7133172079920769,1.0
dalloriam-cloud-client,0.3.1,0.6405372910667211,0.6246126249898225,111.0
dalloriam-cloud-protocol,0.3.1,timeout,1.135244042146951,6.0
dalvik,0.2.0,0.8850155831314623,0.7134903748519719,0.0
dam,0.1.3,timeout,12.449935792014005,32.0
damascus,0.0.9,timeout,7.826964624924585,22.0
damaya,0.1.0,0.6880310419946909,0.677841791883111,0.0
dameng-helper,0.2.4,0.648775750072673,0.6322211669757962,179.0
damians_custom_datetime_parser,0.2.5,timeout,4.566096582915634,17.0
daml,0.2.2,0.8814105000346899,0.7090487498790026,0.0
dangerous_option,0.2.0,0.8127409999724478,0.6464311669114977,0.0
dangit,0.1.0,timeout,147.5825243331492,90.0
dango,0.1.1,timeout,8.067697999998927,25.0
dango-core,0.1.1,2.0506172080058604,504.32827879092656,166.0
dango-music-player,0.0.0,0.8174176670145243,0.6409783330745995,0.0
dango-tui,0.0.0,0.7470499170012772,0.6297727499622852,0.0
daniel_crate,0.1.1,0.7469941249582916,0.70390854193829,0.0
danielfns,0.1.0,0.7160673749167472,0.6170524170156568,0.0
daniels_basic_math,0.1.1,0.7526678338181227,0.6571417499799281,0.0
dankboi,0.1.2,timeout,115.62678791699,82.0
danmu2ass,0.2.1,1.7276524170301857,252.72814400005151,117.0
danmuji,0.1.0,1.587466917000711,259.1479166659992,122.0
dano,0.9.1,timeout,26.64379879203625,43.0
dantalian,0.4.6,1.5970894580241293,202.1688087920193,105.0
dante-cli,0.8.3,timeout,31.9488876669202,42.0
dante-control-rs,0.8.2,timeout,13.574881708947942,29.0
danu,0.0.0,0.9328894580248744,0.6656524159479886,0.0
danube-client,0.3.4,timeout,62.53318833280355,60.0
danube-core,0.3.4,timeout,34.168808916117996,48.0
deallocate-zeroed,0.2.0,1.728380624903366,0.765710957814008,1.0
deam,0.0.0,0.7185182499233633,0.6991327500436455,0.0
dean_minigrep,0.1.1,0.7760864580050111,0.635885041905567,0.0
deanonro,0.1.0,1.659537041094154,301.5208396250382,124.0
dear,0.1.1,timeout,1.091155790956691,6.0
dearbitrary,1.0.4,1.0503637501969934,0.6506159999407828,0.0
dearbitrary_derive,1.0.1,timeout,0.8150689580943435,4.0
deary,0.0.1,timeout,52.30548941693269,54.0
deasync,0.1.0,timeout,0.7592037909198552,4.0
death,0.1.0,0.707683082902804,0.5914961250964552,0.0
death_god_logging_tool,4.1.3,timeout,17.024985749972984,34.0
deathframe,0.5.1,0.9306424998212606,0.7895229998975992,293.0
deathrip,0.2.1,1.4036293330136689,213.23422479187136,112.0
deb,0.5.18,timeout,2.145662957802415,10.0
deb-architectures,0.1.0,0.7425764161162078,0.5897939158603549,0.0
deb-rs,0.1.2,timeout,1.4085509160067886,8.0
deb-rust,0.1.2,0.6396649160888046,0.6479387921281159,29.0
deb-version,0.1.1,0.7494989580009133,0.6364259580150247,0.0
diatomic-waker,0.2.3,0.8847412921022624,0.6405174161773175,0.0
diazene,1.4.1,timeout,13.065310625126584,32.0
dib,0.1.0,timeout,1.1505337080452591,7.0
dibi,0.1.2,timeout,85.0715146670118,70.0
dice,0.1.0,0.8324807081371546,0.7379306659568101,0.0
dice-bag,0.2.0,timeout,3.258501041913405,11.0
dice-command-parser,0.8.0,timeout,1.4673893339931965,8.0
dice-me,0.1.1,timeout,3.671513792127371,12.0
dice-roll,0.1.1,0.8132312500383705,0.6689676670357585,0.0
dice-roller,0.1.3,timeout,4.798852999927476,15.0
dice_forge,0.3.0,timeout,2.2241127090528607,8.0
dicebag,0.2.1,timeout,4.441549457842484,14.0
dicebear,0.1.3,timeout,151.9332331251353,91.0
dicecloud_sheet_printer,0.1.0,2.1726489579305053,timeout,188.0
diced,0.1.2,1.391557834111154,0.6969137501437217,1.0
diced-py,0.1.2,timeout,1.7688597911037505,9.0
dicedb-rs,0.1.2,timeout,33.97667341702618,47.0
dicegen,0.1.0,timeout,2.1384020000696182,8.0
disarray-core,0.1.20,timeout,11.562050875043496,27.0
disarray-derive,0.1.13,timeout,0.8557501249015331,4.0
disarray-ledger,0.1.20,timeout,37.17961237509735,53.0
disarray-macros,0.1.13,timeout,0.8151722499169409,4.0
disarray-network,0.1.20,1.0867240419611337,0.6808287911117077,122.0
disarray-runtime,0.1.20,2.5040411660447717,253.77298195799813,119.0
disas,0.1.3,timeout,1.3695707919541746,8.0
disasm,0.5.1,2.3055987081024796,0.656790291890502,1.0
disasm-core,0.5.1,1.0366191661451012,0.6475316248834133,0.0
disasm-e2k,0.5.2,1.801836249884218,0.659058750141412,1.0
disasm-gen,0.5.1,timeout,0.8852746251504868,5.0
disasm-riscv,0.5.1,1.4447248338256031,0.6671353748533875,1.0
disasm-test,0.5.1,2.718511125072837,0.6942607499659061,2.0
disasm-x86,0.5.1,1.2716336660087109,0.5865023750811815,1.0
disasm6502,0.2.2,0.6770909591577947,0.6348643340170383,0.0
disasm_x64,0.1.1,0.7159001671243459,0.650889707962051,0.0
disassemble,0.0.1,0.7136392500251532,0.6888681671116501,0.0
disc,0.1.0,timeout,2.5543237919919193,11.0
disc-bot,0.1.0,timeout,142.30416504084133,87.0
disc-derive,0.1.0,timeout,1.9812317921314389,10.0
diskinfo,0.1.0,0.6694913329556584,0.6519125830382109,0.0
diskio,0.1.2,1.4819484169129282,0.7280706251040101,1.0
diskit,0.1.4,timeout,3.70526925008744,14.0
disklru,0.3.3,timeout,22.425784582970664,39.0
diskmap,0.2.0,timeout,3.882571125170216,15.0
diskonaut,0.11.0,timeout,44.37006220780313,55.0
diskotech,0.0.5,timeout,16.159130166983232,33.0
diskplan,0.1.0,timeout,20.219011000124738,35.0
diskplan-config,0.1.0,timeout,9.449155707843602,25.0
diskplan-filesystem,0.1.0,timeout,2.0879842080175877,10.0
diskplan-schema,0.1.0,timeout,0.9777687499299644,6.0
diskplan-traversal,0.1.0,timeout,12.876639416906984,29.0
diskqueue,0.1.0,timeout,17.851387000177056,32.0
disks,0.1.0,0.6181178749538958,0.6034025829285383,0.0
diskscan,0.3.0,timeout,32.73793229088187,48.0
diskspace,0.5.0,timeout,29.52433291706257,41.0
diskspace_insight,0.1.94,timeout,22.87553720897995,40.0
disktest,1.16.0,timeout,44.518751207971945,52.0
disktest-lib,1.2.0,timeout,38.61139225005172,51.0
drs-0x01,0.3.0,timeout,0.765117916977033,3.0
drsh4dow_testing_mini_crate_that_do_nothing,0.1.2,0.881164374994114,0.6421445410232991,0.0
drt-chain-scenario-format,0.0.3,timeout,7.788291750010103,23.0
drt-chain-vm,0.0.3,timeout,12.231228583026676,30.0
drt-chain-vm-executor,0.0.2,0.9323686670977622,0.5764788340311497,0.0
drt-price-aggregator-sc,0.0.3,timeout,13.4522367909085,27.0
drt-sc,0.0.3,timeout,3.9866907910909504,16.0
drt-sc-codec,0.0.3,6.690569542115554,0.7911572500597686,2.0
drt-sc-codec-derive,0.0.3,timeout,0.9744896669872104,5.0
drt-sc-derive,0.0.3,timeout,1.7171284998767078,9.0
drt-sc-meta,0.0.3,119.4933340421412,timeout,180.0
drt-sc-meta-lib,0.0.3,timeout,36.146041500149295,51.0
drt-sc-modules,0.0.3,timeout,4.763687999919057,17.0
drt-sc-scenario,0.0.3,timeout,83.89091541687958,73.0
drt-sc-snippets,0.0.3,2.01076520816423,470.1304222920444,155.0
drt-sc-wasm-adapter,0.0.3,timeout,4.7930147079750896,17.0
drt-sdk,0.0.3,1.8137112921103835,220.11188770807348,111.0
drt-tools,0.2.28,0.7491630001459271,0.709362291963771,142.0
drt-wrewa-swap-sc,0.0.3,timeout,5.782477291999385,18.0
