name,version,dependency_count
nanohtml2text,0.2.1,0.0
nanohttp,0.2.1,0.0
nanoid,0.4.0,8.0
nanoid-dictionary,0.4.3,0.0
nanoid-wasm,0.1.3,0.0
nanoid_cli,1.0.0,16.0
nanoimage,0.1.3,0.0
nanoir,0.100.0,0.0
nanokit,0.2.0,0.0
nanoleaf,0.1.1,93.0
nanoly,0.1.0,0.0
nanom,0.1.6,20.0
nanom-derive,0.1.2,7.0
nanomsg,0.7.2,2.0
nanomsg-sys,0.7.2,1.0
nanopass,0.1.8,19.0
nanopow-rs,0.3.3,20.0
nanopre,0.1.2,0.0
nanopub,0.1.4,140.0
pic2lcd,0.1.0,18.0
pic2txt,1.0.0,23.0
pic32-config-sector,0.3.0,0.0
pic32-hal,0.13.0,13.0
pic32mx2xx,0.7.0,1.0
pic32mx470,0.1.0,1.0
pic32mx567,0.1.0,2.0
pic8259,0.11.0,5.0
pic8259_simple,0.2.0,1.0
pic8259_x86,0.1.0,0.0
pica,0.1.7,45.0
picahq,0.1.1,318.0
picam,0.0.0,
pican,0.1.0,49.0
picard,0.0.1,8.0
picard-core,0.0.1,7.0
picasso-core,0.1.0,29.0
picat,0.1.0,9.0
piccolo,0.3.3,20.0
piccolo-util,0.3.3,21.0
crate-pro,0.1.0,0.0
crate-publish-test,0.1.1,0.0
crate-publish-test-foo,0.1.0,0.0
crate-published,0.1.0,0.0
crate-race,1.1.2,98.0
crate-redeem-in-kind,0.6.0,153.0
crate-root,0.1.3,0.0
crate-sample-pdaj,0.1.0,0.0
crate-settings,0.0.7,23.0
crate-starter,1.1.0,10.0
crate-template,0.0.1,0.0
crate-test-20220118,0.2.0,0.0
crate-test-bolt,0.1.0,0.0
crate-test-xxx,0.1.13,0.0
crate-token,0.6.0,152.0
crate-version,0.1.0,114.0
crate-version-experiment,0.3.5,0.0
crate-web,0.1.1,11.0
crate2bib,0.3.2,104.0
lmdb-rs,0.7.6,4.0
lmdb-rs-m,0.7.8,4.0
lmdb-sys,0.8.0,1.0
lmdb-sys2,0.11.2,1.0
lmdb-zero,0.4.4,4.0
lmfu,1.3.1,0.0
lmgpt,0.1.5,28.0
lminc,2.0.1,0.0
lmk,0.2.0,24.0
lml,0.1.0,0.0
lmml,0.6.0,65.0
lmml-cli,0.6.0,74.0
lmml-parser,0.6.0,68.0
lmnkjgkj-std-backtrace-anyhow,0.0.0,
lmntal-language-server,0.1.1,129.0
lmntalc,0.12.0,25.0
lmql,0.3.0,60.0
lms,0.4.0,52.0
lms-signature,0.0.1,19.0
lms_lib,0.4.0,22.0
photon-http,0.0.0,
photon-indexer,0.50.0,626.0
photon-rs,0.3.2,62.0
photon_decode,0.2.1,1.0
photon_garden_obsidian,0.1.0,17.0
photondb,0.0.4,59.0
photondb-engine,0.0.1,16.0
photondb-tools,0.0.4,77.0
photonic,0.1.0,47.0
photonic-audio,0.1.0,94.0
photonic-dynamic,0.1.0,56.0
photonic-dynamic-runner,0.1.0,132.0
photonic-effects,0.1.0,51.0
photonic-interface-cli,0.1.0,49.0
photonic-interface-grpc,0.1.0,66.0
photonic-interface-grpc-client,0.1.0,107.0
photonic-interface-grpc-proto,0.1.0,44.0
photonic-interface-mqtt,0.1.0,55.0
photonic-interface-restore,0.1.0,51.0
photonic-lua,0.1.0,60.0
yew-struct-component,0.1.4,72.0
yew-struct-component-macro,0.1.4,4.0
yew-style,0.1.4,71.0
yew-style-in-rs,0.4.1,83.0
yew-style-in-rs-core,0.4.1,0.0
yew-style-in-rs-macro,0.4.1,19.0
yew-table,0.1.2,74.0
yew-template,0.10.0,39.0
yew-tincture,0.2.2,72.0
yew-transition-group,0.0.1,72.0
yew-ui,0.1.0,71.0
yew-unocss-transformer,0.0.0,
yew-utils,0.3.0,71.0
yew-vdom-gen,0.1.0,71.0
yew-virtual-scroller,0.1.0,72.0
yew-virtualized,0.2.0,72.0
yew-websocket,1.21.0,81.0
yew-webtransport,0.21.1,77.0
yew_assets,0.1.2,71.0
yew_audio,0.1.2,86.0
xrpl_api,0.16.7,16.0
xrpl_binary_codec,0.16.7,37.0
xrpl_cli,0.16.7,135.0
xrpl_http_client,0.16.7,116.0
xrpl_sdk_jsonrpc,0.12.0,116.0
xrpl_sdk_ws,0.12.0,77.0
xrpl_types,0.16.7,15.0
xrpl_ws_client,0.16.7,77.0
xrs,0.0.1,7.0
xrt,0.3.0,0.0
xrtsp,0.3.0,124.0
xrun,0.12.0,129.0
xrunits,0.1.2,0.0
xrust,1.2.4,43.0
xs,0.0.0,0.0
xs-api,0.1.0,0.0
xs-channel,0.3.7,219.0
xs-lib,0.4.0,23.0
xs233,0.3.0,13.0
xs233-sys,0.2.0,0.0
upstream,0.1.0,62.0
upstream-module,0.2.0,159.0
upstream-ontologist,0.2.2,165.0
upsun,0.1.0,0.0
upt,0.9.0,19.0
upt-please,0.0.0,
uptest,0.1.4,64.0
uptest-cli,0.1.4,64.0
uptic,0.1.0,0.0
uptime,0.0.1,6.0
uptime_kuma_client,0.1.10,128.0
uptime_kuma_pusher,0.3.0,36.0
uptime_lib,0.3.1,17.0
uptimer,0.2.1,14.0
uption,0.6.6,127.0
upto,0.1.5,0.0
uptown_funk,0.1.3,6.0
uptown_funk_macro,0.1.2,4.0
uptrace,0.19.0,95.0
uptu_libs,0.1.0,0.0
sc-service-test,0.0.0,0.0
sc-simnode,16.0.0,470.0
sc-state-db,0.37.0,124.0
sc-statement-store,20.0.0,277.0
sc-storage-monitor,0.23.0,139.0
sc-sync-state-rpc,0.48.0,409.0
sc-sysinfo,41.0.0,388.0
sc-tracing,38.0.0,275.0
sc-tracing-proc-macro,11.0.0,10.0
sc-transaction-graph,3.0.0,228.0
sc-transaction-pool,38.1.0,269.0
sc-transaction-pool-api,38.1.0,206.0
sc-utils,18.0.0,112.0
sc16is752,0.1.1,1.0
sc2-macro,1.0.0,8.0
sc2-proc-macro,1.0.0,7.0
sc2-proto,0.2.3,9.0
sc2-proxy,0.1.0,101.0
bellande_rust_import,0.0.1,4.0
bellande_step,0.1.0,100.0
bellandeos_file_system_test,0.0.1,28.0
bellare-micali,0.1.2,29.0
bellboy,0.2.0,81.0
bellemere,0.1.0,0.0
bellframe,0.13.2,13.0
bellhop,0.2.1,172.0
bellhop-auth-dummy,0.2.1,173.0
bellhop-auth-header,0.2.1,176.0
bellhop-cli,0.2.1,114.0
bellhop-client,0.2.1,87.0
bellhop-demo,0.2.1,201.0
bellhop-hook-jenkins,0.2.1,195.0
bellissimo_auth0,0.0.4,46.0
bellman,0.14.0,15.0
bellman-keccak256,0.1.0,16.0
bellman_ce,0.8.0,33.0
bellos,0.0.4,24.0
bellpepper,0.4.1,17.0
diskinfo,0.1.0,0.0
diskio,0.1.2,1.0
diskit,0.1.4,14.0
disklru,0.3.3,39.0
diskmap,0.2.0,15.0
disko,0.0.0,
diskonaut,0.11.0,55.0
diskotech,0.0.5,33.0
diskplan,0.1.0,35.0
diskplan-config,0.1.0,25.0
diskplan-filesystem,0.1.0,10.0
diskplan-schema,0.1.0,6.0
diskplan-traversal,0.1.0,29.0
diskqueue,0.1.0,32.0
disks,0.1.0,0.0
diskscan,0.3.0,48.0
diskspace,0.5.0,41.0
diskspace_insight,0.1.94,40.0
disktest,1.16.0,52.0
disktest-lib,1.2.0,51.0
rscontainer,0.1.0,1.0
rscope,0.0.1,0.0
rscp,0.1.7,8.0
rscpi,0.1.0,28.0
rscribe,0.1.1,29.0
rscript,0.17.0,20.0
rscripter,0.1.1,0.0
rscrypt,0.2.1,19.0
rscs,0.0.0,0.0
rscv,0.0.2,146.0
rscx,0.1.14,49.0
rscx-macros,0.1.14,16.0
rscx-mdx,0.1.7,83.0
rscx-web-macros,0.3.0,4.0
rsd,0.1.0,11.0
rsdate,0.5.0,28.0
rsdb,0.12.1,16.0
rsdbc,0.0.1,167.0
rsdbc-core,0.0.1,37.0
rsdbc-mysql,0.0.1,105.0
gwasm-api,0.3.0,134.0
gwasm-dispatcher,0.1.0,10.0
gwasm-instrument,0.3.0,1.0
gwasmi,0.30.0,11.0
gwasmi_core,0.12.0,4.0
gwd-backend-firefox,0.1.5,70.0
gwdiff,1.0.0,32.0
gweather-sys,4.5.0,14.0
gweiyser,0.1.4,227.0
gwipt,0.5.0,145.0
gwmp-mux,0.11.0,
gwordle,0.1.2,7.0
gworld,0.1.0,9.0
gwv,0.3.2,111.0
gwy15-common,0.1.0,97.0
gwyh,0.1.0,74.0
gx,0.1.0,0.0
gx21m15,0.1.1,8.0
gxccd,0.1.1,3.0
gxci,0.3.7,15.0
pkg-macros,3.0.0,5.0
pkg-types,0.1.0,10.0
pkg-utils,0.1.0,38.0
pkg-version,1.0.0,2.0
pkg-version-impl,0.1.1,1.0
pkg-version-parser,0.1.1,18.0
pkg1,0.0.0,
pkg2,0.0.0,
pkg6dev,0.1.1,114.0
pkg_compile_time,0.1.3,8.0
pkg_impl,2.0.0,0.0
pkg_manager,0.1.1,4.0
pkgar,0.1.15,72.0
pkgar-core,0.1.15,33.0
pkgar-keys,0.1.15,71.0
pkgar-repo,0.1.15,0.0
pkgbob,0.0.6,82.0
pkgbuild,0.0.0,
plot_interface,0.1.3,57.0
plotapi,0.1.1,11.0
plotcap,0.1.3,15.0
plotchart,0.2.12,16.0
ploteria,0.1.0,4.0
plotfx,0.1.0,0.0
plotka,0.0.0,
plotlars,0.8.1,105.0
plotlib,0.5.1,2.0
plotly,0.12.1,34.0
plotly-fork,0.8.4,34.0
plotly_derive,0.12.1,9.0
plotly_kaleido,0.12.1,12.0
plotly_orca,0.0.0,
plotpoint,0.1.8,15.0
plotpy,1.13.0,1.0
plotrs,0.1.3,85.0
plotsweep,0.1.0,32.0
oldwin-vc-ltl5,0.1.1,0.0
oldwin-yy-thunks,0.1.1,0.0
ole,0.1.15,0.0
ole32-sys,0.2.0,3.0
oleaut32-sys,0.2.0,3.0
oled,0.0.0,5.0
oled_shmoled,0.2.1,33.0
olekit,1.0.2,11.0
olha,0.0.0,0.0
oli,0.41.17,136.0
oli-tui,0.1.0,163.0
olibs724-service,0.0.0,
oliframe,0.3.0,45.0
olimex-stm32-p107,0.1.0,25.0
olin,0.3.0,14.0
olinker,0.1.0,0.0
olio,1.4.0,1.0
olis_string,0.1.3,0.0
olivarius-art,0.0.0,
self-rust-tokenize,0.4.0,7.0
self-rust-tokenize-derive,0.4.1,6.0
self-signed-cert,1.0.3,29.0
self_cell,1.1.0,0.0
self_encryption,0.31.0,71.0
self_sdk,0.1.0,137.0
self_service,0.0.0,120.0
self_update,0.42.0,107.0
self_update_danger_no_ssl_verify,0.38.0,106.0
selfe-arc,0.1.1,1.0
selfe-config,0.2.1,9.0
selfe-runtime,0.1.1,1.0
selfe-start,0.1.0,2.0
selfe-sys,0.1.1,0.0
selfie,0.0.3,1.0
selfish,0.1.0,26.0
selfref,0.4.3,0.0
selfserv-daemon,0.2.0,98.0
selfsimilar,0.1.0,8.0
selfstack,0.3.0,4.0
ucd-data,0.1.0,0.0
ucd-generate,0.3.1,9.0
ucd-parse,0.1.13,1.0
ucd-raw,0.5.0,0.0
ucd-trie,0.1.7,0.0
ucd-util,0.2.2,0.0
ucelofka,0.3.0,103.0
ucf,0.1.5,34.0
ucfirst,0.3.0,0.0
ucg,0.7.2,65.0
uchan,0.1.4,2.0
uchardet,2.0.4,3.0
uchardet-sys,2.0.3,1.0
uchimizu,0.0.1,0.0
uchr,0.0.2,0.0
uchrono,0.1.1,0.0
uchu,0.1.0,4.0
uci,0.2.3,1.0
uci-parser,1.1.0,8.0
uci_rs,0.1.2,1.0
eodhd_rs,0.2.0,120.0
eodhistoricaldata_api,0.4.0,93.0
eoe,0.2.0,5.0
eoflint,0.2.0,19.0
eol,0.1.1,4.0
eolib,2.1.1,13.0
eom,0.11.0,31.0
eon,0.0.0,
eon-rs,1.0.0,0.0
eonil_apple_oslog,0.1.2,1.0
eons,0.1.0,108.0
eopl,0.0.0,
eopsin,0.0.0,0.0
eorst,0.2.0,62.0
eos,0.0.0,0.0
eos-eapi,0.2.0,24.0
eos-s3,0.1.0,11.0
eos-tz,0.0.0,0.0
eos-tzdata,0.0.0,0.0
veruna-data,0.0.0,
veruna-kernel,0.0.0,
verus,0.0.0,0.0
verusfmt,0.5.3,48.0
verust,0.2.4,3.0
verver,0.0.1,1.0
vervolg,0.1.0,21.0
very-bad-error-propagation,0.1.1,0.0
very-trash-cli,0.1.0,22.0
very_basic_crate,0.2.0,0.0
very_primitive_tables,0.1.3,0.0
very_simple_2d,1.0.0,0.0
very_simple_2d_core,0.6.0,6.0
very_simple_trie,0.1.3,0.0
veryfast,0.3.1,2.0
veryfi,1.0.0,89.0
migrations_internals,2.2.0,9.0
migrations_macros,2.2.0,10.0
migrator,0.1.0,206.0
migratour,0.1.1,82.0
migres,0.0.1,74.0
mih-rs,0.3.1,3.0
miho,7.0.0,157.0
miho_derive,5.2.0,4.0
mii,0.1.1,1.0
miio-proto,0.1.5,43.0
mijia,0.7.1,53.0
mijia-homie,0.2.7,155.0
mijit,0.2.4,9.0
mik32-rt,0.1.0,12.0
mik32-rt-macros,0.5.0,6.0
mik32v2-pac,0.0.1,6.0
mika,0.0.0,39.0
mikado,0.1.0,0.0
mikan-rs,0.1.4,74.0
mikasa-utils,0.1.0,4.0
iap-jwt,0.2.0,40.0
iapi,0.1.0,72.0
iapiab,0.1.0,142.0
iapp_doc_test,0.0.0,
iaq-core,0.1.0,2.0
iarapi-rs,0.1.1,11.0
iargs,0.1.0,0.0
iars,0.1.0,11.0
ias,0.2.1,44.0
iasc,0.1.0,4.0
iascar,0.2.1,22.0
iastconvert,0.1.2,10.0
iasthk,1.0.1,5.0
iat,0.1.2,4.0
iata-types,0.1.4,6.0
iata_bcbp,1.0.0,3.0
iay,0.4.3,63.0
ib,3.0.0,71.0
bevy_koto,0.2.0,142.0
bevy_kwai_interactive_live,0.1.2,139.0
bevy_la_mesa,0.15.4,140.0
bevy_landmass,0.8.0,135.0
bevy_lazy_prefabs,0.2.1,117.0
bevy_ldtk,0.5.0,116.0
bevy_ldtk_asset,0.6.4,214.0
bevy_leat,0.0.0,0.0
bevy_level,0.0.1,0.0
bevy_libgdx_atlas,0.3.2,110.0
bevy_library,0.0.1,0.0
bevy_life,0.11.0,108.0
bevy_light_2d,0.5.0,108.0
bevy_light_field,0.8.0,194.0
bevy_lighting,0.0.1,0.0
bevy_lightspeed2d,0.1.0,0.0
bevy_lightspeed3d,0.1.0,0.0
bevy_lightspeed4d,0.1.0,0.0
bevy_lightyear,0.1.0,58.0
dangerous_option,0.2.0,0.0
dangit,0.1.0,90.0
dango,0.1.1,25.0
dango-core,0.1.1,166.0
dango-music-player,0.0.0,0.0
dango-tui,0.0.0,0.0
daniel_crate,0.1.1,0.0
danielfns,0.1.0,0.0
danielq_art,0.0.0,
daniels_basic_math,0.1.1,0.0
dankboi,0.1.2,82.0
danmu2ass,0.2.1,117.0
danmuji,0.1.0,122.0
dano,0.9.1,43.0
dantalian,0.4.6,105.0
dante-cli,0.8.3,42.0
dante-control-rs,0.8.2,29.0
danu,0.0.0,0.0
danube-client,0.3.4,60.0
danube-core,0.3.4,48.0
deallocate-zeroed,0.2.0,1.0
deam,0.0.0,0.0
dean_minigrep,0.1.1,0.0
deanonro,0.1.0,124.0
dear,0.1.1,6.0
dearbitrary,1.0.4,0.0
dearbitrary_derive,1.0.1,4.0
deary,0.0.1,54.0
deasync,0.1.0,4.0
death,0.1.0,0.0
death_god_logging_tool,4.1.3,34.0
deathframe,0.5.1,293.0
deathrip,0.2.1,112.0
deb,0.5.18,10.0
deb-architectures,0.1.0,0.0
deb-control,0.0.0,
deb-libsolv-resolver,0.0.0,
deb-rs,0.1.2,8.0
deb-rust,0.1.2,29.0
deb-version,0.1.1,0.0
rust_caching,0.0.0,
rust_calendar_parser,0.1.1,19.0
rust_cards,0.1.2,8.0
rust_cargo_test,0.1.1,0.0
rust_cascade,1.5.0,18.0
rust_cast,0.19.0,42.0
rust_cfg_parser,0.1.0,1.0
rust_chacha20,0.3.0,0.0
rust_ci,0.1.0,35.0
rust_class,0.1.0,0.0
rust_clear,0.1.0,27.0
rust_cli,0.1.0,35.0
rust_client,0.2.3,93.0
rust_closure,0.1.0,0.0
rust_clue_solver_2,0.1.2,0.0
rust_cn,0.1.6,0.0
rust_code_organization,0.0.0,
rust_code_visualizer,0.1.2,9.0
rust_coinlive,0.1.0,102.0
rust_combinatorics,0.1.0,0.0
nenya-sentinel,0.0.1,0.0
neo,0.3.3,113.0
neo-babylon,0.2.0,17.0
neo-crypto,0.1.3,17.0
neo-email,0.1.1,111.0
neo-mime,0.1.1,2.0
neo-mime-macro,0.1.1,6.0
neo-mime-parse,0.1.0,0.0
neo-sync,0.0.8,97.0
neo-web3,0.1.0,83.0
neo3,0.1.9,267.0
neo4j,0.2.0,62.0
neo4j-cli,0.1.0,116.0
neo4j_cypher,0.2.2,0.0
neo4j_testcontainers,0.3.0,104.0
neo4rs-macros,0.3.0,4.0
neo_trinkey,0.2.1,46.0
neobirth,0.1.1,56.0
solana-sys-tuner,1.14.29,85.0
solana-system-client,0.0.1,130.0
solana-system-instruction,0.0.1,0.0
solana-system-interface,1.0.0,51.0
